District,BEDS,School,index,,,,
GREENVILLE,2301010,WADE HAMPTON HIGH,43.05,,,,
GREENVILLE,2301012,HILLCREST HIGH,43.51,,,,
GREENVILLE,2301013,J. L. MANN HIGH ACADEMY,34.20,,,,
GREENVILLE,2301014,MAULDIN HIGH,31.52,,,,
GREENVILLE,2301017,RIVERSIDE HIGH,24.04,,,,
GREENVILLE,2301018,SOUTHSIDE HIGH,69.50,,,,
GREENVILLE,2301020,TRAVELERS REST HIGH,54.68,,,,
GREENVILLE,2301023,WOODMONT HIGH,51.18,,,,
GREENVILLE,2301902,WASHINGTON CENTER,93.94,,,,
GREENWOOD 50,2450001,EMERALD HIGH,66.47,,,,
GREENWOOD 50,2450002,GREENWOOD HIGH,59.33,,,,
GREENWOOD 51,2451020,WARE SHOALS HIGH,66.40,,,,
GREENWOOD 52,2452025,NINETY SIX HIGH,49.79,,,,
HAMPTON 1,2501001,WADE HAMPTON HIGH,66.16,,,,
HAMPTON 2,2502011,ESTILL HIGH,87.38,,,,
HORRY,2601001,AYNOR HIGH,54.08,,,,
HORRY,2601002,NORTH MYRTLE BEACH HIGH,56.16,,,,
HORRY,2601004,CONWAY HIGH,68.64,,,,
HORRY,2601006,GREEN SEA FLOYDS HIGH,71.84,,,,
HORRY,2601008,LORIS HIGH,72.73,,,,
HORRY,2601010,MYRTLE BEACH HIGH,62.41,,,,
HORRY,2601011,SOCASTEE HIGH,51.57,,,,
HORRY,2601052,CAROLINA FOREST HIGH,51.00,,,,
HORRY,2601058,ST. JAMES HIGH,48.67,,,,
HORRY,2601064,HCS EARLY COLLEGE HIGH,71.36,,,,
HORRY,2601604,PALMETTO ACADEMY OF LEARNING MOTORSPORTS (PALM),72.03,,,,
JASPER,2701013,RIDGELAND-HARDEEVILLE HIGH,83.19,,,,
KERSHAW,2801003,NORTH CENTRAL HIGH,65.03,,,,
KERSHAW,2801005,CAMDEN HIGH,58.35,,,,
KERSHAW,2801007,LUGOFF-ELGIN HIGH,44.63,,,,
LANCASTER,2901002,BUFORD HIGH,49.35,,,,
LANCASTER,2901006,INDIAN LAND HIGH,28.06,,,,
LANCASTER,2901007,ANDREW JACKSON HIGH,48.84,,,,
LANCASTER,2901008,LANCASTER HIGH,73.05,,,,
LAURENS 55,3055004,LAURENS DISTRICT 55 HIGH,61.59,,,,
LAURENS 56,3056016,CLINTON HIGH,71.03,,,,
LEE,3101013,LEE CENTRAL HIGH,88.49,,,,
LEXINGTON 1,3201001,GILBERT HIGH,46.14,,,,
LEXINGTON 1,3201003,LEXINGTON HIGH,27.77,,,,
LEXINGTON 1,3201004,PELION HIGH,66.86,,,,
LEXINGTON 1,3201057,WHITE KNOLL HIGH,49.38,,,,
LEXINGTON 1,3201069,RIVER BLUFF HIGH,23.23,,,,
LEXINGTON 2,3202009,AIRPORT HIGH,67.47,,,,
LEXINGTON 2,3202011,BROOKLAND-CAYCE SENIOR HIGH,61.60,,,,
LEXINGTON 3,3203026,BATESBURG-LEESVILLE HIGH,65.86,,,,
LEXINGTON 4,3204034,SWANSEA HIGH,71.62,,,,
LEXINGTON/RICHLAND  5,3205038,CHAPIN HIGH,19.04,,,,
LEXINGTON/RICHLAND  5,3205039,IRMO HIGH,61.13,,,,
LEXINGTON/RICHLAND  5,3205051,DUTCH FORK HIGH,34.17,,,,
LEXINGTON/RICHLAND  5,3205057,SPRING HILL HIGH,22.18,,,,
MCCORMICK,3301001,MCCORMICK HIGH,79.04,,,,
MARION 10,3410002,MARION HIGH,83.38,,,,
MARION 10,3410008,MULLINS HIGH,87.17,,,,
MARION 10,3410024,CREEK BRIDGE HIGH,94.24,,,,
MARLBORO,3501026,MARLBORO COUNTY HIGH,79.54,,,,
NEWBERRY,3601001,NEWBERRY HIGH,76.29,,,,
NEWBERRY,3601002,MID-CAROLINA HIGH,48.33,,,,
NEWBERRY,3601004,WHITMIRE COMMUNITY SCHOOL (HIGH),67.20,,,,
OCONEE,3701005,SENECA HIGH,57.47,,,,
OCONEE,3701007,WALHALLA HIGH,49.54,,,,
OCONEE,3701008,WEST-OAK HIGH,59.46,,,,
ORANGEBURG 3,3803048,LAKE MARION HIGH SCHOOL AND TECHNOLOGY CENTER,84.82,,,,
ORANGEBURG 4,3804024,EDISTO HIGH,68.52,,,,
ORANGEBURG 4,3804049,BRANCHVILLE HIGH,57.06,,,,
ORANGEBURG 4,3804054,HUNTER-KINARD-TYLER HIGH,89.71,,,,
ORANGEBURG 5,3805010,BETHUNE-BOWMAN MIDDLE/HIGH,90.03,,,,
ORANGEBURG 5,3805028,ORANGEBURG WILKINSON HIGH,81.32,,,,
ORANGEBURG 5,3805042,NORTH MIDDLE/HIGH,79.38,,,,
ORANGEBURG 5,3805601,OCSD5 HIGH SCHOOL FOR HEALTH PROFESSIONS,56.38,,,,
PICKENS,3901003,D. W. DANIEL HIGH,37.13,,,,
PICKENS,3901005,EASLEY HIGH,52.46,,,,
PICKENS,3901006,LIBERTY HIGH,57.61,,,,
PICKENS,3901008,PICKENS HIGH,51.63,,,,
RICHLAND 1,4001002,COLUMBIA HIGH,88.72,,,,
RICHLAND 1,4001004,DREHER HIGH,51.38,,,,
RICHLAND 1,4001005,EAU CLAIRE HIGH,93.21,,,,
RICHLAND 1,4001007,A. C. FLORA HIGH,43.71,,,,
RICHLAND 1,4001011,C. A. JOHNSON HIGH,95.15,,,,
