ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,GRADRATE22,GRADRATE21,GRADRATE20,GRADRATE19
2022,"South Carolina Public Charter
School District",Lowcountry Acceleration Academy,4701064,H,18.5,*,0,0
2022,"South Carolina Public Charter
School District",Learn4life High School,4701065,H,0,*,0,0
2022,"South Carolina Public Charter
School District",South Carolina Public Charter School District,4701999,D,71.7,75.9,71.2,72.3
2022,Charter Institute At Erskine,"Royal Live Oaks Academy Of The Arts & Sciences
Charter School",4801004,H,87.5,81.1,85.4,87.5
2022,Charter Institute At Erskine,Oceanside Collegiate Academy,4801005,H,99.4,98.8,98.6,99.3
2022,Charter Institute At Erskine,Gray Collegiate Academy,4801007,H,99.3,99.1,99.1,99.2
2022,Charter Institute At Erskine,Coastal Leadership Academy,4801008,H,87.9,93.6,85.7,90
2022,Charter Institute At Erskine,Midlands Stem Institute,4801009,H,100,*,0,0
2022,Charter Institute At Erskine,Odyssey Online Learning,4801010,H,63.5,47.7,36.2,19.1
2022,Charter Institute At Erskine,South Carolina Virtual Charter School,4801011,H,76.1,71.2,58.9,0
2022,Charter Institute At Erskine,Cyber Academy Of South Carolina,4801012,H,76.8,76.7,72.4,61.1
2022,Charter Institute At Erskine,Calhoun Falls Charter School,4801013,H,100,80,78.9,84.6
2022,Charter Institute At Erskine,Legion Collegiate Academy,4801016,H,100,98.7,88.5,0
2022,Charter Institute At Erskine,South Carolina Connections Academy,4801018,H,84.2,84.1,70.9,72.9
2022,Charter Institute At Erskine,Lowcountry Leadership Charter School,4801019,H,100,89.7,90.9,90
2022,Charter Institute At Erskine,Brashier Middle College Charter High School,4801022,H,99,99,100,93.8
2022,Charter Institute At Erskine,Lowcountry Connections Academy,4801023,H,85.7,*,0,0
2022,Charter Institute At Erskine,Charter Institute At Erskine,4801999,D,83.5,80.4,68.1,58.9
2022,"South Carolina Governor's
School For Agriculture A","South Carolina Governor's School For Agriculture At
John De La Ho",5205003,H,100,*,0,0
2022,"South Carolina Governor's
School For Agriculture A",South Carolina Governor's School For Agriculture A,5205999,D,100,*,0,0
2022,"Sc School For The Deaf And
The Blind",Sc School For The Blind High,5207005,H,50,50,60,20
2022,"Sc School For The Deaf And
The Blind",Sc School For The Deaf High,5207007,H,16.7,50,100,55.6
2022,"Sc School For The Deaf And
The Blind",Cedar Springs Academy,5207011,H,*,0,0,0
2022,"Sc School For The Deaf And
The Blind",Sc School For The Deaf And The Blind,5207999,D,35.7,31.3,30.8,26.1
2022,Sc Djj Schools,Sc Department Of Juvenile Justice,5208001,H,0,0,0,0.7
2022,Sc Djj Schools,Sc Djj Schools,5208999,D,0,0,0,0
2022,Palmetto Unified School District,Palmetto Unified,5209001,H,0,*,0,0
2022,Palmetto Unified School District,Palmetto Unified School District,5209999,D,0,*,0,0
2022,"SC Governor's School For The
Arts And Humanities",SC Governor's School For The Arts And Humanities,5364001,H,91.5,93.4,98.9,100
2022,"SC Governor's School For The
Arts And Humanities",SC Governor's School For The Arts And Humanities,5364999,D,91.5,93.4,98.9,100
2022,"SC Governor's School For
Science And Math",S.C.Governors School Science And Mathematics,5395001,H,100,100,100,100
2022,"SC Governor's School For
Science And Math",SC Governor's School For Science And Math,5395999,D,100,100,100,100
2022,State of South Carolina,State of South Carolina,9999999,S,83.8,83.3,82.2,81.1
